а - абсолютная частота(встречается в тексте раз): 19, относительная частота: 0.007658202
войска - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
русска - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
кибитка - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
облучка - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
бабушка - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
хмелинушка - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
старинушка - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
сторонушка - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
матушка - абсолютная частота(встречается в тексте раз): 3, относительная частота: 0.0012091899
батюшка - абсолютная частота(встречается в тексте раз): 5, относительная частота: 0.0020153164
царствовала - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
облегала - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
ехала - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
отвечала - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
освещала - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
мгла - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
захрапела - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
висела - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
тела - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
завезла - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
жила - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
росла - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
швырнула - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
утихла - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
на - абсолютная частота(встречается в тексте раз): 48, относительная частота: 0.019347038
капитана - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
судна - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
изъезжена - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
исхожена - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
освещена - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
вина - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
дисциплина - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
воина - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
лучина - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
хозяина - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
она - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
сторона - абсолютная частота(встречается в тексте раз): 3, относительная частота: 0.0012091899
замечательна - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
вчера - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
разговора - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
завтра - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
утра - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
волоса - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
вполголоса - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
комната - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
бунта - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
охота - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
греха - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
ставца - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
молодца - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
отца - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
плеча - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
карловича - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
савельича - абсолютная частота(встречается в тексте раз): 5, относительная частота: 0.0020153164
петруша - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
плечища - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
б - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
сугроб - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
чтоб - абсолютная частота(встречается в тексте раз): 3, относительная частота: 0.0012091899
прозяб - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
в - абсолютная частота(встречается в тексте раз): 50, относительная частота: 0.020153165
предав - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
узнав - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
прав - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
прочитав - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
приехав - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
услышав - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
худощав - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
отложив - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
кузов - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
чинов - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
распоров - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
чувств - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
взглянув - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
сняв - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
овраг - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
лег - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
снег - абсолютная частота(встречается в тексте раз): 4, относительная частота: 0.0016122531
бог - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
полог - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
мог - абсолютная частота(встречается в тексте раз): 7, относительная частота: 0.002821443
помог - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
оренбург - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
вдруг - абсолютная частота(встречается в тексте раз): 5, относительная частота: 0.0020153164
вокруг - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
рад - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
камрад - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
перед - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
вперед - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
под - абсолютная частота(встречается в тексте раз): 3, относительная частота: 0.0012091899
огород - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
себе - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
тебе - абсолютная частота(встречается в тексте раз): 3, относительная частота: 0.0012091899
службе - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
утробе - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
две - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
дороге - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
оренбурге - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
вьюге - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
где - абсолютная частота(встречается в тексте раз): 5, относительная частота: 0.0020153164
команде - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
бороде - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
походе - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
ее - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
далее - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
более - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
умнее - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
точнее - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
сильнее - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
скорее - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
же - абсолютная частота(встречается в тексте раз): 6, относительная частота: 0.0024183798
даже - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
также - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
поже - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
похоже - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
уже - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
хладнокровие - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
благородие - абсолютная частота(встречается в тексте раз): 5, относительная частота: 0.0020153164
чужие - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
татарские - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
плавание - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
желание - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
благословение - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
мгновение - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
поведение - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
выражение - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
недоумение - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
презрение - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
опасение - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
возвращение - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
вчерашние - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
рассеяние - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
большие - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
сверкающие - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
кабаке - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
облучке - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
матушке - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
дядьке - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
армяке - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
деле - абсолютная частота(встречается в тексте раз): 4, относительная частота: 0.0016122531
постеле - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
воле - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
отколе - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
оттоле - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
после - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
кроме - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
куме - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
тюрьме - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
не - абсолютная частота(встречается в тексте раз): 54, относительная частота: 0.021765416
стене - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
дисциплине - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
мне - абсолютная частота(встречается в тексте раз): 21, относительная частота: 0.008464329
стороне - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
вечерне - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
пустыне - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
свое - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
твое - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
такое - абсолютная частота(встречается в тексте раз): 3, относительная частота: 0.0012091899
плутовское - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
пророческое - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
казацкое - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
белое - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
мое - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
всевозможное - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
темное - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
черное - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
приятное - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
невольное - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
которое - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
тулупе - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
мере - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
трактире - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
все - абсолютная частота(встречается в тексте раз): 11, относительная частота: 0.004433696
полосе - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
прикажите - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
сделайте - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
погосте - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
дьячихе - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
эхе - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
пьянице - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
солнце - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
крыльце - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
легче - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
далече - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
недалече - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
ваше - абсолютная частота(встречается в тексте раз): 7, относительная частота: 0.002821443
наше - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
тише - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
душе - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
лучше - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
побольше - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
еще - абсолютная частота(встречается в тексте раз): 9, относительная частота: 0.0036275694
живые - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
целые - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
дорожные - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
странные - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
пересеченные - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
длинные - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
окаянные - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
печальные - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
здоровье - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
холопье - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
питье - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
ж - абсолютная частота(встречается в тексте раз): 3, относительная частота: 0.0012091899
уж - абсолютная частота(встречается в тексте раз): 3, относительная частота: 0.0012091899
проказ - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
глаз - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
раз - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
без - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
завез - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
слез - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
через - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
из - абсолютная частота(встречается в тексте раз): 10, относительная частота: 0.004030633
воз - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
мороз - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
и - абсолютная частота(встречается в тексте раз): 94, относительная частота: 0.03788795
благослови - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
дороги - абсолютная частота(встречается в тексте раз): 3, относительная частота: 0.0012091899
деньги - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
ради - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
награди - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
лошади - абсолютная частота(встречается в тексте раз): 7, относительная частота: 0.002821443
посреди - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
подойди - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
господи - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
выходи - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
люди - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
скажи - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
гвардии - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
продолжении - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
распоряжении - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
недоумении - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
серемонии - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
состоянии - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
станции - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
грибки - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
кибитки - абсолютная частота(встречается в тексте раз): 5, относительная частота: 0.0020153164
нитки - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
батюшки - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
ли - абсолютная частота(встречается в тексте раз): 10, относительная частота: 0.004030633
бывали - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
бегали - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
блуждали - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
бежали - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
ступали - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
стали - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
заехали - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
